id,madura,indonesia
23230,adâ',depan
23231,adâ',habis
23233,adâp,adzab
23234,adâp,sopan santun
23239,addhuh,adu
23240,addhuh,cocok
23266,agghâ',ancam
23267,agghâ',ragu
23281,aghung,agung
23282,aghung,punya
23283,aghung,embah
23305,ajhih,nilai harga
23306,ajhih,kesaktian
23318,ajunan,depan
23319,ajunan,kamu
23345,alang,alang
23346,alang,ilalang
23393,ambhu,usah
23394,ambhu,tarik
23483,angka',jamuan
23484,angka',angkat
23500,angsor,engah
23501,angsor,angsur
23505,anom,muda
23506,anom,paman
23510,antem,amis
23511,antem,hantam
23514,antep,lempar
23515,antep,mantap
23538,ara,ara
23539,ara,barangkali
23540,ara,arah
23586,asma,nama
23587,asma,penyakit asma
23595,asta,tangan
23596,asta,kuburan
23608,ator,hatur
23609,ator,atur
23649,bâghi,ijin
23650,bâghi,beri
23657,bâjhâh,besi
23658,bâjhâh,gigi
23692,balon,balon
23693,balon,dop lampu listrik
23773,bekkas,bekas
23774,bekkas,setelah
23787,bellâs,belas
23788,bellâs,belasan
23821,bennang,benang
23822,bennang,berkuasa
23825,bèntèng,benteng
23826,bèntèng,banteng
23885,bhâjem,bayam
23886,bhâjem,payudara
23893,bhâkal,bakal
23894,bhâkal,tunangan
23905,bhâlâ',luka
23906,bhâlâ',kuwalat
23910,bhâlâdhâs,sejenis biawak
23911,bhâlâdhâs,terperanjat
23948,bhândhâr,bandar (juru judi)
23949,bhândhâr,bandar (pelabuhan)
23981,bhântèng,banting
23982,bhântèng,banteng
23997,bhârât,ibarat
23998,bhârât,bertiup sangat keras
23999,bhâreng,sama
24000,bhâreng,tatkala
24001,bhâreng,babu
24029,bhâu,bau
24030,bhâu,bahu
24042,bheddhâl,keluar
24043,bheddhâl,lari karena terlepas
24046,bheddhuk,beduk
24047,bheddhuk,waktu tengah hari
24056,bhellâk,belang-belang
24057,bhellâk,warna kehitaman
24098,bherkat,sebab
24099,bherkat,nasi dan lauk pauk sebagai hadiah
24100,bherkat,berkat
24115,bhibhit,bibit
24116,bhibhit,mula
24191,bhlânan,pegaraman
24192,bhlânan,tambak
24249,bhrusa,bertebaran
24250,bhrusa,tenar
24287,bhujung,buyung
24288,bhujung,rampasan
24315,bhunga,gembira
24316,bhunga,bunga
24342,bhuruh,baru saja
24343,bhuruh,berburu
24344,bhuruk,longsor
24345,bhuruk,tidak jadi
24346,bhurun,buron
24347,bhurun,dunia flora dan fauna
24359,bhutok,pupuk
24360,bhutok,botok
24414,binè,bibit
24416,binè,istri
24516,bluder,saudara laki-laki
24517,bluder,kukus
24639,bukoh,buku
24640,bukoh,kutil dikulit
24641,bukoh,butiran garam
24696,buri',pantat
24697,buri',lurik
24733,cabhâr,lemah
24734,cabhâr,lambat
24759,cagher,harapan
24760,cagher,untung
24769,cakkra,menerka
24770,cakkra,cakra
24822,cambur,campur
24823,cambur,serupa
24900,carbâk,blobor
24901,carbâk,mulut besar
24910,carèk,carik
24911,carèk,menggurat
24923,carokong,burik
24924,carokong,kotor
24937,cator,kata
24938,cator,permainan catur
24985,cèlèng,mercon
24986,cèlèng,celeng
24993,cella',celak mata
24994,cella',melotot
25077,cepprèt,semburan
25078,cepprèt,bunyi jeppretan
25085,cèrè,codot
25086,cèrè,ciri
25087,cèrè',berak
25088,cèrè',menghinakan
25100,cerobhu,ceroboh
25101,cerobhu,ikan asin
25110,cèt,cat
25111,cèt,mencicit
25168,cocor,paruh
25169,cocor,cocor bebek
25226,congè,menyuapi anak kecil
25227,congè,suka tertawa
25270,cotèk,eceran
25271,cotèk,cungkil
25301,dâdâp,dadap
25302,dâdâp,bingung
25316,dam,darah
25317,dam,dam
25318,dâmma,domma
25319,dâmma,bagaimana
25346,dawet,dawet
25347,dawet,laknat
25381,dhâbu,kata-kata
25382,dhâbu,titah
25415,dhâlpang,jatuh bertiarap
25416,dhâlpang,mulai bercabang
25474,dhekdhek,potongan
25475,dhekdhek,sekam
25717,ella,telah
25718,ella,jangan
25755,ènga',ingat
25756,ènga',seperti
25837,ettang,catut
25838,ettang,ember
25969,ghân,sampai
25970,ghân,harga
25971,ghân,demi
26044,ghâtèh,suka menolong
26045,ghâtèh,segera
26073,ghempor,bentur
26074,ghempor,gempur
26194,ghugghu',gagap
26195,ghugghu',canggung
26235,ghurghur,sisa-sisa
26236,ghurghur,garuk
26449,jhâil,jail
26450,jhâil,air liur
26554,jhujjhu,tusuk
26555,jhujjhu,kebelet
27017,kèndhel,tunda
27018,kèndhel,diam
27038,kennyot,denyut
27039,kennyot,isap
27280,kolak,kulak
27281,kolak,takaran
30284,rajhung,rajungan
30285,rajhung,jari
